País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Guiné-Bissau	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Haiti	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$174,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.737,00	$11.440,00
Honduras	Espumantes	$0,00	$0,00	$202,00	$0,00	$0,00	$120,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Hong Kong	Espumantes	$0,00	$0,00	$4.054,00	$505,00	$0,00	$1.620,00	$2.753,00	$4.149,00	$32.582,00	$2.693,00	$1.704,00	$2.705,00	$1.704,00	$10.173,00	$11.770,00	$13.135,00
Hungria	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$668,00
Índia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$40,00	$80,00	$26,00
Iraque	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Irlanda	Espumantes	$0,00	$0,00	$0,00	$0,00	$3.012,00	$9.411,00	$4.200,00	$14.599,00	$0,00	$0,00	$0,00	$0,00	$0,00	$26,00	$0,00	$0,00
Islândia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$45,00	$0,00
Italia	Espumantes	$0,00	$0,00	$0,00	$6.590,00	$390,00	$9.002,00	$1.894,00	$1.926,00	$832,00	$0,00	$780,00	$8.382,00	$5.331,00	$2.445,00	$253,00	$879,00
Japão	Espumantes	$1.456,00	$5.314,00	$3.578,00	$8.650,00	$15.240,00	$2.480,00	$8.217,00	$83.445,00	$104.395,00	$18.118,00	$14.766,00	$133.203,00	$34.532,00	$41.567,00	$28.930,00	$27.860,00
Jordânia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$103,00	$0,00
Letonia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.426,00	$0,00	$0,00	$0,00	$0,00
Líbano	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$108,00	$0,00	$1.930,00
Libéria	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$444,00	$2.420,00	$6.684,00	$2.509,00
Luxemburgo	Espumantes	$2.333,00	$2.304,00	$6.367,00	$3.963,00	$4.975,00	$2.873,00	$0,00	$3.973,00	$5.790,00	$0,00	$521,00	$1.825,00	$655,00	$2.474,00	$0,00	$0,00
Maldivas	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$12.327,00
Malta	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$1.317,00	$2.862,00	$2.289,00
Marshall, Ilhas	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$604,00	$2.853,00	$4.587,00	$4.087,00
Montenegro	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$24,00
Mexico	Espumantes	$0,00	$0,00	$0,00	$0,00	$24.000,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.476,00	$0,00	$0,00	$0,00
Nicarágua	Espumantes	$0,00	$0,00	$0,00	$0,00	$40,00	$20,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Nigéria	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$506,00	$1.984,00	$0,00	$0,00	$0,00	$445,00	$0,00	$4.029,00	$7.513,00	$15.728,00	$0,00
Noruega	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$21.352,00	$15.933,00	$3.904,00	$119.690,00	$10.099,00	$0,00	$0,00	$300,00	$505,00	$321,00	$155,00
Nova Zelandia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$1.606,00	$1.021,00	$970,00	$554,00	$822,00	$0,00	$1.021,00	$168,00	$0,00	$0,00	$0,00
Paises Baixos (Holanda)	Espumantes	$243,00	$1.100,00	$0,00	$11.276,00	$11.444,00	$18.399,00	$25.485,00	$10.000,00	$51.852,00	$7.907,00	$0,00	$0,00	$0,00	$923,00	$717,00	$479,00
Panama	Espumantes	$0,00	$0,00	$0,00	$0,00	$30,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$740,00	$6.126,00	$15.019,00	$4.514,00
Paraguai	Espumantes	$17.950,00	$6.958,00	$8.088,00	$18.376,00	$24.228,00	$8.531,00	$10.442,00	$81.321,00	$96.500,00	$70.845,00	$123.169,00	$255.320,00	$205.510,00	$224.306,00	$48.614,00	$136.909,00
Peru	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$6.379,00	$1.854,00	$0,00	$0,00
Polonia	Espumantes	$0,00	$0,00	$10.390,00	$6.859,00	$599,00	$0,00	$0,00	$0,00	$1.245,00	$2.310,00	$0,00	$0,00	$73.608,00	$57.107,00	$19,00	$0,00
Porto Rico	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$1.736,00	$0,00	$0,00	$1.512,00	$0,00	$0,00	$0,00
Portugal	Espumantes	$0,00	$0,00	$0,00	$0,00	$17.475,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$11.568,00	$23.255,00	$15.933,00	$11.065,00	$135,00
Quenia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$483,00	$1,00	$0,00	$0,00	$0,00	$1.512,00	$0,00	$0,00	$0,00	$0,00
