País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Nigéria	Espumantes	0,00	0,00	0,00	0,00	0,00	108,00	388,00	0,00	0,00	0,00	68,00	0,00	976,00	1.809,00	4.613,00	0,00
Noruega	Espumantes	0,00	0,00	0,00	0,00	0,00	3.693,00	1.534,00	567,00	24.616,00	3.192,00	0,00	0,00	81,00	345,00	172,00	37,00
Nova Zelandia	Espumantes	0,00	0,00	0,00	0,00	0,00	291,00	150,00	150,00	150,00	233,00	0,00	196,00	15,00	0,00	0,00	0,00
Paises Baixos (Holanda)	Espumantes	49,00	199,00	0,00	2.250,00	2.896,00	5.948,00	3.854,00	1.822,00	8.280,00	1.665,00	0,00	0,00	0,00	432,00	38,00	86,00
Panama	Espumantes	0,00	0,00	0,00	0,00	27,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	319,00	2.929,00	7.163,00	1.639,00
Paraguai	Espumantes	12.153,00	3.455,00	4.637,00	20.099,00	6.728,00	2.513,00	3.568,00	23.603,00	28.038,00	29.016,00	40.197,00	80.951,00	92.114,00	94.620,00	16.231,00	45.629,00
Peru	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.577,00	596,00	0,00	0,00
Polonia	Espumantes	0,00	0,00	2.682,00	1.545,00	90,00	0,00	0,00	0,00	206,00	225,00	0,00	0,00	23.099,00	18.810,00	14,00	0,00
Porto Rico	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	45,00	0,00	0,00	100,00	0,00	0,00	0,00
Portugal	Espumantes	0,00	0,00	0,00	0,00	5.387,00	0,00	0,00	0,00	0,00	0,00	0,00	756,00	1.552,00	1.288,00	631,00	21,00
Quenia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	80,00	1,00	0,00	0,00	0,00	100,00	0,00	0,00	0,00	0,00
Reino Unido	Espumantes	1.080,00	3.166,00	20.880,00	0,00	13.501,00	1.980,00	11.896,00	13.900,00	131.483,00	16.511,00	56.615,00	27.700,00	14.626,00	11.049,00	8.084,00	7.130,00
Republica Dominicana	Espumantes	0,00	23,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Republica Tcheca	Espumantes	802,00	1.820,00	493,00	395,00	0,00	526,00	0,00	158,00	7,00	23,00	94,00	207,00	0,00	0,00	0,00	0,00
Russia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	47.765,00	71.654,00	0,00	0,00
Serra Leoa	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	450,00	225,00
Singapura	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	979,00	525,00
Suecia	Espumantes	0,00	176,00	5.922,00	2.070,00	0,00	0,00	0,00	450,00	98,00	292,00	140,00	298,00	54,00	0,00	0,00	0,00
Suiça	Espumantes	270,00	0,00	16.830,00	0,00	0,00	3.465,00	3.780,00	1.620,00	10.936,00	1.080,00	270,00	1.890,00	0,00	2.704,00	672,00	1.074,00
Suriname	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	31,00	8,00	0,00	0,00	0,00	2,00	0,00	880,00
Tailandia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	16,00	22,00
Taiwan (Formosa)	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2.706,00	1.507,00	0,00	5,00	995,00	1.255,00
Trinidade e Tobago	Espumantes	3,00	0,00	0,00	0,00	18,00	0,00	383,00	0,00	315,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Turquia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,00	18,00	74,00
Uruguai	Espumantes	1.075,00	0,00	0,00	0,00	472,00	0,00	0,00	22.717,00	34.463,00	19.574,00	7.656,00	13.237,00	9.265,00	2.808,00	1.796,00	0,00
Vanuatu	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	14,00	0,00
Venezuela	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	1.470,00	0,00	2,00	0,00	16,00	455,00	5,00	450,00	0,00	0,00
Vietnã	Espumantes	0,00	0,00	0,00	675,00	189,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	144,00
Outros(1)	Espumantes	0,00	3.082,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
África do Sul		0,00	0,00	0,00	0,00	0,00	0,00	3.739,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Alemanha, República Democrática da	Suco	0,00	0,00	0,00	0,00	0,00	0,00	1,00	4,00	38.480,00	6,00	0,00	0,00	96,00	12,00	86,00	13,00
Angola	Suco	7.362,00	43.395,00	63.263,00	237.494,00	6.413,00	0,00	0,00	5.001,00	1.200,00	1.378,00	5.961,00	160,00	1.895,00	0,00	17.766,00	6.073,00
Antígua e Barbuda	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	48,00	95,00	36,00	120,00
Antilhas Holandesas	Suco	0,00	0,00	474,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
